date,admin1,market,latitude,longitude,yam,gari_yellow,gari_white,rice_local,maize_white,maize_yellow,cpi,fuel_price,temperature,rainfall
7/1/2014,Abia,Aba,5.15,7.36,140,62.5,51.46,177.78,92.02,76.92,145.8,106.77,25.49,6.23
8/1/2014,Abia,Aba,5.15,7.36,140,63.19,51.46,188.89,89.25,76.92,145.8,101.61,24.66,5.85
9/1/2014,Abia,Aba,5.15,7.36,140,64.87,51.75,200,86.44,76.92,145.8,97.09,24.97,8.88
10/1/2014,Abia,Aba,5.15,7.36,94.8,64.87,51.75,151.85,86.44,76.92,145.8,87.43,25.89,8.05
11/1/2014,Abia,Aba,5.15,7.36,81.2,53.66,39.03,151.85,88.22,76.92,145.8,79.44,26.5,3.43
12/1/2014,Abia,Aba,5.15,7.36,106.8,94.17,63.42,189.63,88.22,101.92,145.8,62.34,26.77,0.19
1/1/2015,Abia,Aba,5.15,7.36,106.8,94.17,80.56,189.63,86.74,101.92,158.93,47.76,24.91,0.06
2/1/2015,Abia,Aba,5.15,7.36,106.8,121.17,80.56,197.04,86.74,104.38,158.93,58.1,27.22,1.35
3/1/2015,Abia,Aba,5.15,7.36,106.8,121.17,80.56,197.04,86.74,104.38,158.93,55.89,27.44,6.3
4/1/2015,Abia,Aba,5.15,7.36,86.8,121.17,55.66,167.04,86.74,103.15,158.93,59.52,27.5,2.4
5/1/2015,Abia,Aba,5.15,7.36,95.2,106.38,76.33,187.04,86.74,103.97,158.93,64.08,27.31,3.95
6/1/2015,Abia,Aba,5.15,7.36,100,121.17,76.33,197.04,86.74,103.97,158.93,61.48,26.03,6.7
9/1/2015,Abia,Aba,5.15,7.36,100,121.17,80.56,197.04,84.3,104.38,158.93,47.62,25.42,5.22
1/1/2016,Abia,Aba,5.15,7.36,116.8,113.17,80.56,153.33,84.3,104.38,183.88,30.7,26.01,0.73
2/1/2016,Abia,Aba,5.15,7.36,116.8,113.17,80.56,153.33,84.3,271.04,183.88,32.18,27.34,0.07
3/1/2016,Abia,Aba,5.15,7.36,126.8,172.47,115.5,191.85,113.05,122.78,183.88,38.21,28.13,4.11
